label,ID,time,TD1,CELLS,FB1,FB2,FB3,FB4,RTK1i_blood,RAFi_gut,RAFi_blood,MEKi_gut,MEKi_blood,ERKi_gut,ERKi_blood,AKTi_gut,AKTi_blood,MEKi_V3,RTK1i_gut,ERKi,ERKi_C,RAFi,MEKi,TUMOR,GDC,labelf,gdc
VEMU,219,56,0.7848038551820201,1.9269992325539813,0.06266716079905517,0.06266715885400824,0.06266715870544823,0.6895043437136792,0,1090.1759316600928,7135.096047122108,0,0,0,0,0,0,0,0,0,0,40.92071681115567,0,1.9269992325539813,0,VEMU,FALSE
VEMU,220,56,0.9936338747118642,1.5508591974796913,0.521267539534906,0.5212675394658292,0.5212675394607402,0.7210750264277798,0,1053.0164340740773,8238.567616754615,0,0,0,0,0,0,0,0,0,0,112.09621742809824,0,1.5508591974796913,0,VEMU,FALSE
VEMU,221,56,0.9983522231406492,1.9369525911307408,0.8461781301619211,0.8461781301618427,0.8461781301618374,0.7773647674700577,0,1110.3377471170527,4321.499399764759,0,0,0,0,0,0,0,0,0,0,61.02985884890038,0,1.9369525911307408,0,VEMU,FALSE
VEMU,222,56,0.8239923924770775,1.5231306833851963,0.09903479077145894,0.0990347689738267,0.09903476682337511,0.6175664998476535,0,960.0000000065852,6234.359341933639,0,0,0,0,0,0,0,0,0,0,51.31683797021374,0,1.5231306833851963,0,VEMU,FALSE
VEMU,223,56,0.9946453821056959,1.010324573846923,0.5705264407009117,0.5705264407004681,0.57052644070044,0.7467940495235791,0,1503.2214295021995,3527.5013761745445,0,0,0,0,0,0,0,0,0,0,97.17211677814265,0,1.010324573846923,0,VEMU,FALSE
VEMU,224,56,0.9976095805520696,2.0287984961265964,0.7464657319985989,0.7464657319335875,0.7464657319289922,0.7615416759531612,0,1134.059328899524,4667.616560270749,0,0,0,0,0,0,0,0,0,0,85.14042603388141,0,2.0287984961265964,0,VEMU,FALSE
VEMU,225,56,0.810040828386537,1.4619108455098193,0.11105340447450172,0.11105340427863626,0.1110534042653642,0.6888031677568801,0,2578.3918035905817,6640.010375719281,0,0,0,0,0,0,0,0,0,0,81.81166088503424,0,1.4619108455098193,0,VEMU,FALSE
VEMU,226,56,0.6624357081833112,1.2607322528932496,0.06615560122300264,0.06615559337952816,0.06615559266843375,0.6944805483076326,0,960.1692703046832,4852.639817844751,0,0,0,0,0,0,0,0,0,0,58.77012842340082,0,1.2607322528932496,0,VEMU,FALSE
VEMU,227,56,0.0739194765070959,0.5896593326104244,0.0042139419153345925,0.004213941914577784,0.004213941914744569,0.5400282127370605,0,1983.7736322749752,15534.667153967159,0,0,0,0,0,0,0,0,0,0,70.01592355339191,0,0.5896593326104244,0,VEMU,FALSE
VEMU,228,56,0.9949059380473226,1.4419946715452423,0.5607699040457718,0.560769904036412,0.5607699040356559,0.7693006493824263,0,961.5349194736168,13755.205663575403,0,0,0,0,0,0,0,0,0,0,87.84486910640832,0,1.4419946715452423,0,VEMU,FALSE
VEMU,229,56,0.9943790638306348,2.092715954638828,0.5565681066203804,0.5565681062606376,0.5565681062325456,0.6620655225659808,0,1082.2845744464162,8502.688827649295,0,0,0,0,0,0,0,0,0,0,121.574249538907,0,2.092715954638828,0,VEMU,FALSE
VEMU,230,56,0.624598254286426,1.359311200515457,0.030423630914881948,0.03042363061753767,0.03042363059621754,0.6596120969541137,0,1156.740827659259,4941.541245210137,0,0,0,0,0,0,0,0,0,0,83.46798663180886,0,1.359311200515457,0,VEMU,FALSE
